Type;Genre;Titre;Réalisateur;Acteurs;Tournage à Mntp;Sortie en France;Lieux filmés;Prix et nominations;Producteur et Société de production
LONG    METRAGE;Documentaire / Musical;Jajouka, quelque chose de bon vient vers toi ;Marc et Eric Hurtado;Avec les voix de Bachir Attar et Eric Hurtado;2007;05-juil-12;Montpellier, Agde, Vic la Gardiole, Aumelas, les Aresquiers, Villeneuve les Maguelonne;;Christophe Gougeon / Organismes détenteurs ou dépositaires: Atopic, Images de la culture (CNC), La Maison du doc
;Drame / Thriller;8th wonderland;Jean Mach et Nicolas Alberny ;"Matthew Géczy
Alain Azerot
Robert William Bradford
Eloïssa Florez
Alexandre Guégan
Nikos Aliagas
Amanda Lear
Julien Lepers ";2007;12-mai-10;Montpellier et Mauguio;"2009: Mention spéciale du Jury au Festival international du film fantastique de Bruxelles
2009: Prix du Meilleur Film International à Washington au Festival International Politics on Film
2009: Prix du Meilleur Scénario, Prix du Public du Meilleur Film International et 2e Prix du Public du Film le plus Innovant à Montréal au Festival International Fantasia
2009: Prix du Meilleur Film International et Prix du Meilleur Film International (Jury Jeunes) à Tours au Festival International Cinéma et Politique – 2009 
2009: Prix du Meilleur Scénario à Phoenix au Festival International du Film d’Horreur et de Science Fiction
2009: Nomination au Prix du Meilleur Film Français à la Réunion, Maurice, Madagascar - EKWA Festival International de l'Océan Indien
2010: Prix du Meilleur Scénario à Vologa – Festival International VOICES
2011: Prix du Meilleur Film International et Prix du Meilleur Scénario à Athènes – Festival International SFF";"Guillaume Letellier
Société de production : MAD Films et Dream Film"
;Documentaire;Je serai danseur;Laure Pradal ;;2007;Festival international du cinéma méditerranéen (Cinémed) - 2007;Montpellier;;"
Prod Point Doc Diffusion: 
France 2 "
;Policier / Supsense;Scènes de crimes; Frédéric Schoendoerffer;Charles Berling, André Dussollier;2000;15-mars-00;Mireval, Montpellier, Palavas-les-Flots ;Nomination au César de la meilleure première œuvre en 2001;Éric Névé, Sociétés de Production: Canal+, Centre National de la Cinématographie (CNC), La Chauve Souris, M6 Films, Sofica Sofinergie 5, Studio Images 5, Telfrance
;Documentaire;Je ne sais pas si tu peux comprendre ;Mariette Gutherz ;;"
1 Avril 2000 ";Dimanche 07 Avril 2002 ;Montpellier, Nîmes ;;"Les Films du Village , France 3 Corse , Participation CNC PROCIREP, INA 
Distribution
Zaradoc Films, GIV Canada (version anglaise) 
Diffusion: France 3 Corse "
;Comédie;Didier;Alain Chabat ;Jean-Pierre Bacri, Alain Chabat ;1997;29-janv-97;Montpellier ;1998: César du meilleur premier film, Nomination au César du meilleur acteur;"Claude Berri
Société de production : AMLF (Pathé Distribution)"
;Comédie dramatique;Daisy et Mona;Claude D'Anna;"Marina Golovine 
Dyna Gauzy ";1994;26-juil-95;Montpellier - Les Aresquiers;;A.K. Productions
;Comédie;Roulez jeunesse!;Jacques Fansten;Jean Carmet, Daniel Gélin;1993;28-avr-93;Montpellier ;;Ludi Boeken, Jacques Fansten / Sociétés de Production: Belbo Films, Canal+, Centre National de la Cinématographie (CNC), Cofimage 4, France 2 Cinéma, Investissements Droits Audiovisuelles, Procirep, Région Languedoc-Roussillon et Sofiarp
;Comédie;Tango;Patrice Leconte;"Philippe Noiret
Richard Bohringer 
Thierry Lhermitte
Carole Bouquet 
Jean Rochefort
Miou-Miou
Judith Godrèche
Maxime Leroux 
Michèle Laroque 
Jean Benguigui 
Ticky Holgado 
Élodie Bouchez";1993;1993;Montpellier - tribunal,  Alès, Vaucluse;;"Cinéa 
Hachette Première (as Hachette Première et Cie) 
TF1 Films Production (as TF1 Films Production) 
Zoulou Films "
;Comédie / Drame / Romance;Le retour de Casanova;Edouard Niermans;Alain Delon, Fabrice Luchini, Elsa Lunghini;1992;13-mai-92;Montpellier, Château de la Mogère;;"Les Films Alain Sarde 
Films A2 (co-production) 
Pathé distribution "
;Film d'amour / Drame;Les amants du pont neuf ;Leos Carax;Juliette Binoche, Denis Lavant, Klaus Michael Grüber, Marie Trintignant;1991;16-oct-91;Lansargues, Montpellier ;"1992 : European Film Award de la meilleure actrice pour Juliette Binoche 
1992 : European Film Award de la meilleure image pour Jean-Yves Escoffier
1992 : European Film Award du meilleur montage pour Nelly Quettier
1994 : Sant Jordi de la meilleure actrice étrangère pour Juliette Binoche                                                                                                                                                                                                                                                                                           1992 : Nomination au César de la meilleure actrice pour Juliette Binoche
1992 : Nomination au César des meilleurs décors pour Michel Vandestien
1993 : Nomination au BAFTA du meilleur film non anglophone
2000 : Nomination au Chicago Film Critics Association (CFCA) Award du meilleur film en langue étrangère";Christian Fechner / Films A2, Gaumont International et Les Films Christian Fechner
;Drame;Mima;Philomène Esposito;"
Virginie Ledoyen, Nino Manfredi, Margarita Lozano ";1990;16-janv-91;Montpellier , Sète;; Paris New-York Production, Pathé Distribution, Investimage 2, Investimage 3
;Drame;Un week-end sur deux;Nicole Garcia;Nathalie Baye;1990;1990;Montpellier, Palavas, Frontignan, Lodève ;"1991, Nomination au César de la Meilleure actrice : Nathalie Baye
1991, Nomination au César de la Meilleure première œuvre : Nicole Garcia";Alain Sarde, Christine Gozlan / Société de production : Sara Films
;Drame;Le petit criminel;Jacques Doillon;Richard Anconina, Gérald Thomassin, Clotilde Courau;1990;1990;Montpellier, Sète;;"Production : Sara films avec la participation de Studio Canal
Producteur : Alain Sarde"
;Policier;Maman;Romain Goupil;Anémone, Arthur H;1990;14-févr-90;Frontignan, Montpellier ;;Lucy finance, Sofica création, Sofimage, Planète et cie, La Générale d'images , French production 
