id_lieu;annee_tournage;type_tournage;nom_tournage;nom_realisateur;nom_producteur;adresse_lieu;ardt_lieu;date_debut;date_fin;coord_x;coord_y;geo_shape;geo_point_2d;actors;runtime;Genre;Metascore;Released;Rating;nb_votes
2019-168;2019;Série TV;Fleabag;Jeanne Herry;Banijay Studios France;rue payenne, 75003 paris;75003;2019-02-15;2019-02-16;2.36246962;48.85821901;"{""type"": ""Point"", ""coordinates"": [2.36246962418062, 48.85821901101249]}";48.858219011,2.36246962418;Phoebe Waller-Bridge, Sian Clifford, Olivia Colman, Jenny Rainsford;27 min;Comedy, Drama;N/A;16 Sep 2016;8.7;107,944
2019-169;2019;Série TV;Fleabag;Jeanne Herry;Banijay Studios France;rue bichat, 75010 paris;75010;2019-02-15;2019-02-15;2.36787378;48.87180669;"{""type"": ""Point"", ""coordinates"": [2.367873777552742, 48.871806686016164]}";48.871806686,2.36787377755;Phoebe Waller-Bridge, Sian Clifford, Olivia Colman, Jenny Rainsford;27 min;Comedy, Drama;N/A;16 Sep 2016;8.7;107,944
2019-528;2019;Long métrage;Madame Claude;Sylvie VERHEYDE;Les Compagnons du Cinéma;rue adolphe yvon, 75116 paris;75116;2019-05-21;2019-05-21;2.27161094;48.86404196;"{""type"": ""Point"", ""coordinates"": [2.271610942737006, 48.86404195655532]}";48.8640419566,2.27161094274;Karole Rocher, Garance Marillier, Roschdy Zem, Pierre Deladonchamps;112 min;Biography, Crime, Drama, Romance;N/A;02 Apr 2021;5.4;2,063
2019-1450;2019;Série Web;Tu Préfèreres;Lise Akoka et Romane Gueret;Superstructure;21 rue augustin thierry, 75019 paris;75019;2019-10-23;2019-10-23;2.39323292;48.87615564;"{""type"": ""Point"", ""coordinates"": [2.393232921569863, 48.87615564093728]}";48.8761556409,2.39323292157;Gringe, Orelsan;2 min;Comedy;N/A;11 Feb 2016;6.9;8
2018-800;2018;Long métrage;MERVEILLES A MONTFERMEIL;Jeanne Balibar;FILM(S);rue pasteur, 75011 paris;75011;2018-07-10;2018-07-10;2.37589888;48.86236702;"{""type"": ""Point"", ""coordinates"": [2.375898877340252, 48.86236702389297]}";48.8623670239,2.37589887734;Jeanne Balibar, Ramzy Bedia, Emmanuelle Béart, Mathieu Amalric;109 min;Comedy;N/A;19 Aug 2020;3.9;194
2018-1516;2018;Long métrage;FORTE;Katia LEWKOWICZ;QUAD FILMS;41b quai de la loire, 75019 paris;75019;2018-12-05;2018-12-06;2.37902873;48.8876142;"{""type"": ""Point"", ""coordinates"": [2.379028729534671, 48.887614194350235]}";48.8876141944,2.37902872953;Melha Bedia, Valérie Lemercier, Alison Wheeler, Bastien Ughetto;95 min;Comedy;N/A;15 Apr 2020;5.0;628
2018-1519;2018;Long métrage;FORTE;Katia LEWKOWICZ;QUAD FILMS;5 avenue albert de mun, 75116 paris;75116;2018-12-06;2018-12-08;2.29147419;48.86303972;"{""type"": ""Point"", ""coordinates"": [2.29147418547214, 48.86303971716837]}";48.8630397172,2.29147418547;Melha Bedia, Valérie Lemercier, Alison Wheeler, Bastien Ughetto;95 min;Comedy;N/A;15 Apr 2020;5.0;628
2018-1544;2018;Long métrage;C'est la vie;Julien Rambaldi;RECIFILMS;1 place de breteuil, 75007 paris;75007;2018-12-11;2018-12-11;2.31224982;48.84770728;"{""type"": ""Point"", ""coordinates"": [2.312249820472198, 48.84770727879403]}";48.8477072788,2.31224982047;Jean-Pierre Bacri, Jean-Paul Rouve, Gilles Lellouche, Vincent Macaigne;117 min;Comedy, Drama, Romance;N/A;04 Oct 2017;6.9;9,722
2018-1551;2018;Long métrage;La nuit venue;Frederic Farrucci;Koro film;boulevard gouvion-saint-cyr, 75017 paris;75017;2018-12-12;2018-12-13;2.28735985;48.88304848;"{""type"": ""Point"", ""coordinates"": [2.28735985046238, 48.883048476557065]}";48.8830484766,2.28735985046;Guang Huo, Camélia Jordana, Xun Liang, Maurice Cheng;95 min;Drama;N/A;15 Jul 2020;6.1;147
2019-478;2019;Série TV;ROMANCE;Hervé HADMAR;CINETEVE;52 rue condorcet, 75009 paris;75009;2019-04-30;2019-05-01;2.34308679;48.88028864;"{""type"": ""Point"", ""coordinates"": [2.343086793647637, 48.8802886362519]}";48.8802886363,2.34308679365;Caroline Ducey, Sagamore Stévenin, François Berléand, Rocco Siffredi;84 min;Drama, Romance;49;14 Apr 1999;5.3;10,112
2018-858;2018;Série Web;La République;Simon Bouisson;Cinétévé;rue du grand prieuré, 75011 paris;75011;2018-07-26;2018-07-26;2.36879113;48.86544604;"{""type"": ""Point"", ""coordinates"": [2.368791130007619, 48.86544603537523]}";48.8654460354,2.36879113001;Thomas Chabrol, Alain Libolt, Gwenaëlle Simon, Vanessa Larré;36 min;Short;N/A;08 Mar 2010;6.2;19
2018-862;2018;Série Web;La République;Simon Bouisson;Cinétévé;18 place de la république, 75010 paris;75010;2018-07-27;2018-07-28;2.36283072;48.86796292;"{""type"": ""Point"", ""coordinates"": [2.362830719160752, 48.86796291717311]}";48.8679629172,2.36283071916;Thomas Chabrol, Alain Libolt, Gwenaëlle Simon, Vanessa Larré;36 min;Short;N/A;08 Mar 2010;6.2;19
